name,formula,category,basis,A,B,C,D,t_min,t_max,cp_unit,source,data_quality
Iron (alpha),Fe,Metals & Alloys,molar,-16.424409,0.10547458,-4.16819e-05,947094.15,200.0,1184.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Fe(a), Fe(a), Fe(a), Fe(a); ref: j); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,1184] K [WARNING: 4-term model max error 40% vs true NASA curve over this range - do not trust without manual re-check]",verified-poor_fit
Copper,Cu,Metals & Alloys,molar,27.29472,-0.00469248,6.3848e-06,-163140.82,200.0,1358.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Cu(cr); ref: coda89); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,1358] K",verified
Aluminium,Al,Metals & Alloys,molar,28.329406,-0.00988395,1.73097e-05,-231393.84,200.0,933.61,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: AL(cr); ref: coda89); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,934] K",verified
Nickel,Ni,Metals & Alloys,molar,34.33874,-0.00414274,3.6507e-06,-546732.87,200.0,1728.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Ni(cr), Ni(cr), Ni(cr), Ni(cr); ref: j12/76); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,1728] K [WARNING: 4-term model max error 17% vs true NASA curve over this range - do not trust without manual re-check]",verified-poor_fit
Titanium (alpha),Ti,Metals & Alloys,molar,47.934365,-0.0609024,4.82949e-05,-669212.23,200.0,1156.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Ti(a), Ti(a); ref: coda89); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,1156] K [note: 4-term refit max error 8.0% vs true NASA curve]",verified-approx
Chromium,Cr,Metals & Alloys,molar,25.106803,0.00114193,6.2551e-06,-224612.42,200.0,2130.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Cr(cr), Cr(cr), Cr(cr); ref: j); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,2130] K",verified
Zinc,Zn,Metals & Alloys,molar,30.904525,-0.0231506,3.40568e-05,-148153.73,200.0,692.73,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Zn(cr); ref: coda89); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,693] K",verified
Lead,Pb,Metals & Alloys,molar,22.27854,0.0153313,-5.0457e-06,26877.13,200.0,600.65,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Pb(cr); ref: tpis91); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,601] K",verified
Tungsten,W,Metals & Alloys,molar,35.636458,-0.01452187,5.7485e-06,-531953.87,200.0,3680.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: W(cr), W(cr), W(cr), W(cr); ref: j); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,3680] K [note: 4-term refit max error 12.5% vs true NASA curve]",verified-approx
Silver,Ag,Metals & Alloys,molar,24.396141,0.00358788,1.6677e-06,-37839.72,200.0,1235.08,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Ag(cr); ref: coda89); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,1235] K",verified
Gold,Au,Metals & Alloys,molar,23.68,0.00519,0,0,298,1337,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Magnesium,Mg,Metals & Alloys,molar,23.376375,0.00686021,2.9686e-06,-87443.68,100.0,923.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Mg(cr), Mg(cr); ref: srd); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [100,923] K",verified
Cobalt,Co,Metals & Alloys,molar,21.545111,0.0137257,1.924e-07,-73442.5,200.0,700.1,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Co(a), Co(a); ref: j); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,700] K",verified
Molybdenum,Mo,Metals & Alloys,molar,29.232383,-0.00581135,4.8137e-06,-301818.65,200.0,2896.0,J/mol/K,"NASA Glenn Coefficients, NASA/TP—2002-211556, Appendix D (species: Mo(cr), Mo(cr), Mo(cr); ref: j); refit to Cp=A+BT+CT^2+D/T^2 by least-squares over [200,2896] K",verified
