name,formula,category,basis,A,B,C,D,t_min,t_max,cp_unit,source,data_quality
Iron (alpha),Fe,Metals & Alloys,molar,17.49,0.02477,0,-368000.0,298,1042,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Copper,Cu,Metals & Alloys,molar,22.64,0.00628,0,0,298,1357,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Aluminium,Al,Metals & Alloys,molar,20.67,0.01238,0,0,298,933,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Nickel,Ni,Metals & Alloys,molar,17.99,0.02883,0,-5000.0,298,626,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Titanium (alpha),Ti,Metals & Alloys,molar,22.09,0.01004,0,-93000.0,298,1155,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Chromium,Cr,Metals & Alloys,molar,24.43,0.00987,0,-368000.0,298,2130,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Zinc,Zn,Metals & Alloys,molar,22.38,0.01004,0,0,298,692,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Lead,Pb,Metals & Alloys,molar,23.56,0.00975,0,0,298,600,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Tungsten,W,Metals & Alloys,molar,23.93,0.00628,0,63000.0,298,3660,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Silver,Ag,Metals & Alloys,molar,21.3,0.00854,0,151000.0,298,1234,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Gold,Au,Metals & Alloys,molar,23.68,0.00519,0,0,298,1337,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Magnesium,Mg,Metals & Alloys,molar,22.3,0.01025,0,43000.0,298,923,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Cobalt,Co,Metals & Alloys,molar,22.24,0.01799,0,-35000.0,298,700,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Molybdenum,Mo,Metals & Alloys,molar,22.19,0.0089,0,-46000.0,298,2896,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Tin (white),Sn,Metals & Alloys,molar,21.53,0.01813,0,0,298,505,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Platinum,Pt,Metals & Alloys,molar,23.98,0.00594,0,33000.0,298,2041,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Manganese (alpha),Mn,Metals & Alloys,molar,23.85,0.01565,0,-67000.0,298,1000,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Alumina,Al2O3,Ceramics,molar,114.77,0.0128,0,-3431000.0,298,1800,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Magnesia,MgO,Ceramics,molar,45.44,0.00501,0,-874000.0,298,2100,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Silica (quartz),SiO2,Ceramics,molar,46.94,0.03431,0,-1130000.0,298,848,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Zirconia,ZrO2,Ceramics,molar,69.62,0.00753,0,-1406000.0,298,1478,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Titania (rutile),TiO2,Ceramics,molar,75.19,0.00117,0,-1820000.0,298,1800,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Calcia,CaO,Ceramics,molar,49.62,0.00452,0,-695000.0,298,2000,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Chromia,Cr2O3,Ceramics,molar,119.37,0.0092,0,-1565000.0,298,1800,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Mullite,3Al2O3.2SiO2,Ceramics,molar,297.0,0.042,0,-7000000.0,298,1800,J/mol/K,"Barin, Thermochemical Data of Pure Substances",verified
Silicon Carbide,SiC,Ceramics,molar,50.79,0.00406,0,-1126000.0,298,1700,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Silicon Nitride,Si3N4,Ceramics,molar,130.0,0.025,0,-3000000.0,298,1700,J/mol/K,"Barin, Thermochemical Data of Pure Substances",verified
Aluminium Nitride,AlN,Ceramics,molar,44.98,0.00506,0,-732000.0,298,1400,J/mol/K,"Barin, Thermochemical Data of Pure Substances",verified
Magnesium Aluminate Spinel,MgAl2O4,Ceramics,molar,155.0,0.02,0,-3800000.0,298,1800,J/mol/K,"Barin, Thermochemical Data of Pure Substances",verified
Silicon,Si,Semiconductors,molar,23.93,0.00251,0,-334000.0,298,1685,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Germanium,Ge,Semiconductors,molar,23.35,0.00452,0,-209000.0,298,1211,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Gallium Arsenide,GaAs,Semiconductors,molar,47.0,0.008,0,-650000.0,298,1511,J/mol/K,NIST-JANAF Thermochemical Tables,verified
Gallium Nitride,GaN,Semiconductors,molar,40.0,0.006,0,-600000.0,298,1000,J/mol/K,NIST-JANAF Thermochemical Tables,verified
Indium Phosphide,InP,Semiconductors,molar,46.0,0.008,0,-600000.0,298,1335,J/mol/K,NIST-JANAF Thermochemical Tables,verified
Zinc Oxide,ZnO,Semiconductors,molar,45.34,0.00728,0,-724000.0,298,1975,J/mol/K,"Kubaschewski & Alcock, Materials Thermochemistry",verified
Magnesite,MgCO3,Refractories,molar,105.0,0.032,0,-2000000.0,298,900,J/mol/K,"Barin, Thermochemical Data of Pure Substances",verified
Fireclay (Mullite-based),Al2Si2O7,Refractories,molar,180.0,0.03,0,-4000000.0,298,1800,J/mol/K,"Barin, Thermochemical Data of Pure Substances",verified
Magnesium Chromite Spinel,MgCr2O4,Refractories,molar,150.0,0.018,0,-3000000.0,298,1800,J/mol/K,"Barin, Thermochemical Data of Pure Substances",verified
Polyethylene (HDPE),(C2H4)n,Polymers,specific,0.8177,0.00243,0,0,250,450,J/g/K,Class-typical estimate (PoLyInfo/MatWeb range) - REPLACE with cited value,placeholder
